"k","l","cm","n_missings"
8,5,[231 2 0 1 1 0 3 1 2 2; 0 324 1 0 1 0 0 1 0 1; 3 5 247 1 1 1 1 4 0 0; 3 19 1 184 0 1 1 6 2 1; 0 14 0 0 234 0 1 1 0 10; 1 8 0 4 0 178 12 1 0 2; 9 5 0 0 0 1 268 1 3 0; 0 9 0 0 0 0 0 278 1 0; 0 6 0 1 0 3 8 0 208 4; 1 19 0 3 21 1 0 6 0 194],732
8,6,[209 2 0 0 0 0 0 1 1 1; 0 316 0 0 0 0 0 1 0 0; 1 1 218 0 0 0 0 3 0 0; 2 11 1 152 0 0 1 2 1 0; 0 8 0 0 190 0 1 1 0 5; 0 3 0 3 0 145 6 0 0 0; 6 2 0 0 0 0 233 1 0 0; 0 9 0 0 0 0 0 263 0 0; 0 3 0 0 0 2 3 0 163 3; 0 14 0 2 11 1 0 3 0 149],1146
8,7,[176 2 0 0 0 0 0 1 1 1; 0 303 0 0 0 0 0 0 0 0; 1 1 184 0 0 0 0 2 0 0; 1 3 0 119 0 0 0 0 0 0; 0 2 0 0 142 0 1 0 0 1; 0 2 0 0 0 103 1 0 0 0; 2 1 0 0 0 0 178 1 0 0; 0 4 0 0 0 0 0 240 0 0; 0 2 0 0 0 0 0 0 110 0; 0 10 0 1 2 0 0 1 0 94],1607
8,8,[122 1 0 0 0 0 0 1 0 0; 0 282 0 0 0 0 0 0 0 0; 0 1 132 0 0 0 0 1 0 0; 0 2 0 74 0 0 0 0 0 0; 0 1 0 0 76 0 1 0 0 1; 0 0 0 0 0 60 0 0 0 0; 0 0 0 0 0 0 116 0 0 0; 0 2 0 0 0 0 0 190 0 0; 0 1 0 0 0 0 0 0 59 0; 0 7 0 0 1 0 0 0 0 35],2134
9,1,[254 6 4 3 3 2 13 4 5 4; 0 332 3 1 2 0 0 3 1 6; 7 12 284 3 3 2 3 10 2 2; 5 32 11 243 1 7 2 13 8 8; 4 27 2 0 268 0 8 6 1 17; 6 25 3 11 3 222 31 1 5 12; 22 8 2 0 1 6 295 1 7 0; 0 12 7 0 0 0 2 299 2 5; 5 9 4 9 1 9 20 2 268 17; 5 30 4 3 35 4 0 9 2 239],0
9,2,[252 8 3 3 5 2 10 3 6 6; 1 329 3 1 2 0 1 3 1 7; 8 12 280 3 3 2 2 12 3 3; 11 31 10 242 0 7 3 11 9 6; 4 28 1 0 264 0 9 7 1 19; 6 25 1 9 5 226 28 3 6 10; 20 8 2 0 2 6 296 1 7 0; 0 12 7 0 0 0 2 299 2 5; 5 10 5 9 1 9 19 3 269 14; 4 31 2 4 34 4 0 10 2 240],0
9,3,[250 6 3 3 2 3 15 3 4 4; 0 332 3 0 2 0 0 3 1 5; 7 11 282 2 3 2 2 12 1 2; 6 32 9 242 0 8 2 11 8 6; 2 26 1 0 264 0 9 7 1 17; 3 23 0 9 2 226 27 1 6 11; 20 8 2 0 2 6 297 1 6 0; 0 12 5 0 0 0 2 301 3 3; 5 9 3 9 0 8 21 3 262 16; 4 30 2 3 34 4 0 10 2 240],45
9,4,[247 4 1 2 3 2 9 3 4 3; 0 328 3 0 2 0 0 2 0 7; 6 10 273 2 2 2 1 9 0 0; 5 30 6 227 0 6 1 10 6 4; 1 24 1 0 262 0 8 3 0 16; 4 17 0 6 2 218 21 1 2 6; 20 8 2 0 0 5 289 1 7 0; 0 11 4 0 0 0 1 299 2 1; 4 9 3 7 0 5 15 1 256 13; 3 28 1 3 32 3 0 7 2 231],215
9,5,[237 3 0 1 1 0 5 1 2 3; 0 327 2 0 1 0 0 1 0 4; 3 8 258 1 1 1 1 6 0 0; 3 27 4 203 0 2 1 7 4 1; 0 18 0 0 240 0 4 1 0 11; 1 13 0 5 1 188 15 1 0 3; 14 6 0 0 0 3 281 1 4 0; 0 10 2 0 0 0 0 283 1 1; 1 8 0 2 0 3 11 1 221 7; 1 24 0 3 29 2 0 6 0 211],544
9,6,[224 2 0 0 0 0 2 1 1 2; 0 319 1 0 1 0 0 1 0 1; 2 3 234 1 0 0 1 3 0 0; 2 18 1 168 0 0 1 3 2 0; 0 12 0 0 215 0 1 1 0 8; 0 7 0 3 0 166 8 1 0 2; 6 4 0 0 0 0 253 1 3 0; 0 9 0 0 0 0 0 270 0 0; 0 4 0 0 0 2 6 0 185 3; 1 17 0 2 15 1 0 6 0 170],924
9,7,[194 2 0 0 0 0 0 1 1 1; 0 311 0 0 0 0 0 1 0 0; 1 1 202 0 0 0 0 3 0 0; 1 9 1 137 0 0 0 1 0 0; 0 5 0 0 172 0 1 0 0 2; 0 3 0 2 0 124 3 0 0 0; 4 2 0 0 0 0 212 1 0 0; 0 7 0 0 0 0 0 253 0 0; 0 2 0 0 0 0 2 0 142 1; 0 14 0 1 9 1 0 2 0 131],1337
9,8,[160 2 0 0 0 0 0 1 1 0; 0 298 0 0 0 0 0 0 0 0; 0 1 172 0 0 0 0 2 0 0; 0 3 0 106 0 0 0 0 0 0; 0 2 0 0 118 0 1 0 0 1; 0 1 0 0 0 89 1 0 0 0; 0 1 0 0 0 0 164 1 0 0; 0 3 0 0 0 0 0 227 0 0; 0 1 0 0 0 0 0 0 94 0; 0 8 0 0 2 0 0 0 0 77],1763
9,9,[110 1 0 0 0 0 0 0 0 0; 0 278 0 0 0 0 0 0 0 0; 0 1 115 0 0 0 0 1 0 0; 0 2 0 65 0 0 0 0 0 0; 0 1 0 0 67 0 1 0 0 1; 0 0 0 0 0 52 0 0 0 0; 0 0 0 0 0 0 104 0 0 0; 0 2 0 0 0 0 0 173 0 0; 0 0 0 0 0 0 0 0 51 0; 0 6 0 0 1 0 0 0 0 30],2238
